Tail,Tail_x,Tail_y,Tail_geoid,Head,Head_x,Head_y,Head_geoid,Flow,Cost
380,-97.744601,30.268129,48453001102,3327,-97.74247,30.267767,48453001103,0.034000,0.520000
3327,-97.74247,30.267767,48453001103,380,-97.744601,30.268129,48453001102,0.034014,0.520000
406,-97.742416,30.264483,48453001103,3328,-97.742929,30.26276,48453001103,0.000000,0.480000
3328,-97.742929,30.26276,48453001103,406,-97.742416,30.264483,48453001103,0.000000,0.480000
406,-97.742416,30.264483,48453001103,3329,-97.74156,30.26646,48453001103,0.056025,0.600000
3329,-97.74156,30.26646,48453001103,406,-97.742416,30.264483,48453001103,0.026011,0.600000
406,-97.742416,30.264483,48453001103,3324,-97.743505,30.265003,48453001103,3.377407,0.280000
3324,-97.743505,30.265003,48453001103,406,-97.742416,30.264483,48453001103,500.218068,0.280000
405,-97.74621,30.265461,48453001102,3335,-97.745092,30.267456,48453001102,0.080697,0.600000
3335,-97.745092,30.267456,48453001102,405,-97.74621,30.265461,48453001102,128.337321,0.600000
380,-97.744601,30.268129,48453001102,3053,-97.745963,30.26867,48453001102,4.952136,0.360000
3053,-97.745963,30.26867,48453001102,380,-97.744601,30.268129,48453001102,672.352904,0.360000
380,-97.744601,30.268129,48453001102,3325,-97.744177,30.267205,48453001102,23.110722,0.280000
3325,-97.744177,30.267205,48453001102,380,-97.744601,30.268129,48453001102,171.226426,0.280000
380,-97.744601,30.268129,48453001102,3297,-97.74345,30.269081,48453001101,3.181093,0.400000
3297,-97.74345,30.269081,48453001101,380,-97.744601,30.268129,48453001102,355.393051,0.400000
406,-97.742416,30.264483,48453001103,3331,-97.741224,30.264046,48453001103,17.915240,0.320000
3331,-97.741224,30.264046,48453001103,406,-97.742416,30.264483,48453001103,380.174539,0.320000
381,-97.741182,30.267364,48453001103,3327,-97.74247,30.267767,48453001103,0.034014,0.320000
3327,-97.74247,30.267767,48453001103,381,-97.741182,30.267364,48453001103,0.034000,0.320000
381,-97.741182,30.267364,48453001103,3304,-97.740772,30.268341,48453001101,4.486646,0.280000
3304,-97.740772,30.268341,48453001101,381,-97.741182,30.267364,48453001103,1.245123,0.280000
381,-97.741182,30.267364,48453001103,3311,-97.740092,30.267027,48453001103,25.425456,0.280000
3311,-97.740092,30.267027,48453001103,381,-97.741182,30.267364,48453001103,747.301735,0.280000
381,-97.741182,30.267364,48453001103,3329,-97.74156,30.26646,48453001103,5.513523,0.280000
3329,-97.74156,30.26646,48453001103,381,-97.741182,30.267364,48453001103,411.752303,0.280000
378,-97.743373,30.271875,48453001101,3322,-97.742775,30.27095,48453001101,9.714898,0.280000
3322,-97.742775,30.27095,48453001101,378,-97.743373,30.271875,48453001101,74.271427,0.280000
378,-97.743373,30.271875,48453001101,3337,-97.742107,30.272779,48453001101,0.674307,0.400000
3337,-97.742107,30.272779,48453001101,378,-97.743373,30.271875,48453001101,131.241379,0.400000
377,-97.740269,30.274993,48453000700,2779,-97.743195,30.276069,48453000700,1.203478,0.760000
2779,-97.743195,30.276069,48453000700,377,-97.740269,30.274993,48453000700,224.745566,0.760000
378,-97.743373,30.271875,48453001101,3341,-97.744542,30.272475,48453001101,1.005424,0.320000
3341,-97.744542,30.272475,48453001101,378,-97.743373,30.271875,48453001101,269.263878,0.320000
379,-97.740184,30.270625,48453001101,3343,-97.741096,30.271477,48453001101,6.491193,0.320000
3343,-97.741096,30.271477,48453001101,379,-97.740184,30.270625,48453001101,412.179764,0.320000
379,-97.740184,30.270625,48453001101,3307,-97.739349,30.272069,48453001101,0.000000,0.440000
3307,-97.739349,30.272069,48453001101,379,-97.740184,30.270625,48453001101,0.000000,0.440000
377,-97.740269,30.274993,48453000700,2780,-97.739643,30.276807,48453000700,0.215649,0.520000
2780,-97.739643,30.276807,48453000700,377,-97.740269,30.274993,48453000700,252.328891,0.520000
382,-97.738381,30.266557,48453001103,3312,-97.738174,30.267616,48453001101,1.458979,0.280000
3312,-97.738174,30.267616,48453001101,382,-97.738381,30.266557,48453001103,0.231163,0.280000
382,-97.738381,30.266557,48453001103,3299,-97.738673,30.265681,48453001103,8.157035,0.240000
3299,-97.738673,30.265681,48453001103,382,-97.738381,30.266557,48453001103,106.251244,0.240000
382,-97.738381,30.266557,48453001103,3345,-97.73691,30.265964,48453001103,0.000000,0.400000
3345,-97.73691,30.265964,48453001103,382,-97.738381,30.266557,48453001103,127.266903,0.400000
384,-97.733763,30.27371,48453000700,3357,-97.734578,30.273141,48453000700,15.005369,0.240000
3357,-97.734578,30.273141,48453000700,384,-97.733763,30.27371,48453000700,485.463464,0.240000
383,-97.736137,30.270537,48453001101,3314,-97.73793,30.269638,48453001101,2.309065,0.480000
3314,-97.73793,30.269638,48453001101,383,-97.736137,30.270537,48453001101,136.422462,0.480000
383,-97.736137,30.270537,48453001101,3362,-97.736834,30.272631,48453001101,0.000000,0.600000
3362,-97.736834,30.272631,48453001101,383,-97.736137,30.270537,48453001101,0.000000,0.600000
383,-97.736137,30.270537,48453001101,3315,-97.735483,30.269824,48453001101,12.450411,0.240000
3315,-97.735483,30.269824,48453001101,383,-97.736137,30.270537,48453001101,97.191025,0.240000
383,-97.736137,30.270537,48453001101,3364,-97.736033,30.271252,48453001101,1.048111,0.200000
3364,-97.736033,30.271252,48453001101,383,-97.736137,30.270537,48453001101,351.869354,0.200000
360,-97.742966,30.290562,48453000606,3764,-97.742467,30.295288,48453000601,0.000000,1.320000
3764,-97.742467,30.295288,48453000601,360,-97.742966,30.290562,48453000606,25.251508,1.320000
359,-97.743151,30.284903,48453000608,3796,-97.742861,30.287673,48453000608,0.001002,0.760000
3796,-97.742861,30.287673,48453000608,359,-97.743151,30.284903,48453000608,0.002003,0.760000
376,-97.738873,30.27864,48453000700,3797,-97.737823,30.280378,48453000700,7.178030,0.560000
3797,-97.737823,30.280378,48453000700,376,-97.738873,30.27864,48453000700,986.145284,0.560000
376,-97.738873,30.27864,48453000700,2763,-97.736099,30.277798,48453000700,0.015012,0.720000
2763,-97.736099,30.277798,48453000700,376,-97.738873,30.27864,48453000700,0.510337,0.720000
362,-97.735154,30.285008,48453000601,3801,-97.736852,30.289381,48453000601,0.807159,1.280000
3801,-97.736852,30.289381,48453000601,362,-97.735154,30.285008,48453000601,566.734007,1.280000
362,-97.735154,30.285008,48453000601,3800,-97.738992,30.2807,48453000700,1.144057,1.520000
3800,-97.738992,30.2807,48453000700,362,-97.735154,30.285008,48453000601,873.412040,1.520000
362,-97.735154,30.285008,48453000601,3798,-97.741238,30.287567,48453000601,27.157548,1.600000
3798,-97.741238,30.287567,48453000601,362,-97.735154,30.285008,48453000601,184.238396,1.600000
361,-97.738284,30.291737,48453000601,3766,-97.740848,30.291879,48453000601,12.835702,0.600000
3766,-97.740848,30.291879,48453000601,361,-97.738284,30.291737,48453000601,1348.121434,0.600000
359,-97.743151,30.284903,48453000608,3799,-97.741492,30.285325,48453000601,2.127529,0.400000
3799,-97.741492,30.285325,48453000601,359,-97.743151,30.284903,48453000608,138.105580,0.400000
359,-97.743151,30.284903,48453000608,3809,-97.744542,30.282227,48453000700,8.373936,0.800000
3809,-97.744542,30.282227,48453000700,359,-97.743151,30.284903,48453000608,69.020828,0.800000
359,-97.743151,30.284903,48453000608,3611,-97.744569,30.285003,48453000608,0.061271,0.360000
3611,-97.744569,30.285003,48453000608,359,-97.743151,30.284903,48453000608,0.398431,0.360000
376,-97.738873,30.27864,48453000700,3807,-97.741962,30.279445,48453000700,0.194532,0.760000
3807,-97.741962,30.279445,48453000700,376,-97.738873,30.27864,48453000700,97.577638,0.760000
360,-97.742966,30.290562,48453000606,3766,-97.740848,30.291879,48453000601,7.321642,0.640000
3766,-97.740848,30.291879,48453000601,360,-97.742966,30.290562,48453000606,23.138042,0.640000
360,-97.742966,30.290562,48453000606,3796,-97.742861,30.287673,48453000608,0.150198,0.800000
3796,-97.742861,30.287673,48453000608,360,-97.742966,30.290562,48453000606,0.059056,0.800000
360,-97.742966,30.290562,48453000606,3666,-97.744096,30.290506,48453000606,2.628539,0.280000
3666,-97.744096,30.290506,48453000606,360,-97.742966,30.290562,48453000606,83.381064,0.280000
361,-97.738284,30.291737,48453000601,3801,-97.736852,30.289381,48453000601,70.280119,0.720000
3801,-97.736852,30.289381,48453000601,361,-97.738284,30.291737,48453000601,1051.763321,0.720000
149,-97.669035,30.488674,48491020709,5230,-97.663415,30.491586,48491020709,7.105376,1.560000
5230,-97.663415,30.491586,48491020709,149,-97.669035,30.488674,48491020709,3.156234,1.560000
149,-97.669035,30.488674,48491020709,5234,-97.668873,30.495059,48491020709,0.000000,1.760000
5234,-97.668873,30.495059,48491020709,149,-97.669035,30.488674,48491020709,0.000015,1.760000
149,-97.669035,30.488674,48491020709,5229,-97.668371,30.481774,48491020709,301.151873,1.920000
5229,-97.668371,30.481774,48491020709,149,-97.669035,30.488674,48491020709,0.000000,1.920000
149,-97.669035,30.488674,48491020709,7025,-97.673061,30.486396,48491020709,0.629616,1.160000
7025,-97.673061,30.486396,48491020709,149,-97.669035,30.488674,48491020709,261.576112,1.160000
436,-97.770276,30.269571,48453001911,3147,-97.770573,30.266998,48453001911,0.106434,0.540001
3147,-97.770573,30.266998,48453001911,436,-97.770276,30.269571,48453001911,27.300861,0.540001
275,-97.742547,30.34102,48453001501,3509,-97.740729,30.346965,48453001501,0.000000,1.260001
3509,-97.740729,30.346965,48453001501,275,-97.742547,30.34102,48453001501,0.001517,1.260001
275,-97.742547,30.34102,48453001501,3510,-97.738676,30.340153,48453001505,10.700961,0.720001
3510,-97.738676,30.340153,48453001505,275,-97.742547,30.34102,48453001501,38.482429,0.720001
275,-97.742547,30.34102,48453001501,3635,-97.746587,30.33916,48453001501,3.292097,0.810001
3635,-97.746587,30.33916,48453001501,275,-97.742547,30.34102,48453001501,48.297381,0.810001
275,-97.742547,30.34102,48453001501,3634,-97.744743,30.335433,48453000206,0.008337,1.230001
3634,-97.744743,30.335433,48453000206,275,-97.742547,30.34102,48453001501,0.001000,1.230001
258,-97.738792,30.350866,48453001501,4031,-97.734128,30.350382,48453001504,0.174364,0.840001
4031,-97.734128,30.350382,48453001504,258,-97.738792,30.350866,48453001501,6.606726,0.840001
258,-97.738792,30.350866,48453001501,3509,-97.740729,30.346965,48453001501,6.710120,0.870001
3509,-97.740729,30.346965,48453001501,258,-97.738792,30.350866,48453001501,2.658464,0.870001
199,-97.737938,30.407812,48453032500,1129,-97.731664,30.412533,48453032500,4.563546,1.500001
1129,-97.731664,30.412533,48453032500,199,-97.737938,30.407812,48453032500,101.130625,1.500002
203,-97.7016,30.412333,48453042200,1172,-97.696596,30.407968,48453041200,189.473401,1.260001
1172,-97.696596,30.407968,48453041200,203,-97.7016,30.412333,48453042200,20.924960,1.260001
718,-97.945336,29.884797,48209010100,1258,-97.945866,29.885791,48209010100,0.025084,0.240000
1258,-97.945866,29.885791,48209010100,718,-97.945336,29.884797,48209010100,0.028086,0.240000
708,-97.927999,29.882519,48209010302,1261,-97.923961,29.884527,48209010307,9.170642,0.840001
1261,-97.923961,29.884527,48209010307,708,-97.927999,29.882519,48209010302,0.017186,0.840001
708,-97.927999,29.882519,48209010302,1262,-97.929695,29.885258,48209010302,0.193886,0.630001
1262,-97.929695,29.885258,48209010302,708,-97.927999,29.882519,48209010302,32.471398,0.630001
912,-97.938557,29.88466,48209010100,1282,-97.940026,29.884481,48209010100,0.001003,0.270000
1282,-97.940026,29.884481,48209010100,912,-97.938557,29.88466,48209010100,0.001004,0.270000
912,-97.938557,29.88466,48209010100,1283,-97.93868,29.883169,48209010100,0.111619,0.300000
1283,-97.93868,29.883169,48209010100,912,-97.938557,29.88466,48209010100,19.338240,0.300000
587,-97.922651,29.886396,48209010307,1265,-97.922986,29.883649,48209010307,0.120702,0.570001
1265,-97.922986,29.883649,48209010307,587,-97.922651,29.886396,48209010307,0.212497,0.570001
720,-97.947927,29.881787,48209010100,1579,-97.946433,29.882637,48209010100,0.399295,0.330000
1579,-97.946433,29.882637,48209010100,720,-97.947927,29.881787,48209010100,8.064350,0.330000
720,-97.947927,29.881787,48209010100,1580,-97.946805,29.880975,48209010100,0.045672,0.270000
1580,-97.946805,29.880975,48209010100,720,-97.947927,29.881787,48209010100,0.066002,0.270000
720,-97.947927,29.881787,48209010100,1584,-97.94931,29.883234,48209010100,0.000000,0.390000
1584,-97.94931,29.883234,48209010100,720,-97.947927,29.881787,48209010100,29.123770,0.390000
720,-97.947927,29.881787,48209010100,1578,-97.949175,29.880721,48209010100,0.004020,0.300000
1578,-97.949175,29.880721,48209010100,720,-97.947927,29.881787,48209010100,0.048303,0.300000
718,-97.945336,29.884797,48209010100,1529,-97.943689,29.883538,48209010100,1.399338,0.390000
1529,-97.943689,29.883538,48209010100,718,-97.945336,29.884797,48209010100,12.589084,0.390000
718,-97.945336,29.884797,48209010100,1582,-97.946819,29.882953,48209010100,0.063369,0.480000
1582,-97.946819,29.882953,48209010100,718,-97.945336,29.884797,48209010100,29.600548,0.480000
708,-97.927999,29.882519,48209010302,1601,-97.92453,29.88122,48209010302,0.211209,0.690001
1601,-97.92453,29.88122,48209010302,708,-97.927999,29.882519,48209010302,24.208252,0.690001
903,-97.937071,29.874089,48209010500,1629,-97.935627,29.876948,48209010500,0.008065,0.660001
1629,-97.935627,29.876948,48209010500,903,-97.937071,29.874089,48209010500,0.115341,0.660001
903,-97.937071,29.874089,48209010500,1630,-97.934677,29.874456,48209010500,0.561105,0.450000
1630,-97.934677,29.874456,48209010500,903,-97.937071,29.874089,48209010500,52.779364,0.450000
903,-97.937071,29.874089,48209010500,1648,-97.93838,29.874302,48209010500,0.113707,0.240000
1648,-97.93838,29.874302,48209010500,903,-97.937071,29.874089,48209010500,42.700406,0.240000
910,-97.939316,29.875972,48209010500,1634,-97.938568,29.875464,48209010500,0.092931,0.180000
1634,-97.938568,29.875464,48209010500,910,-97.939316,29.875972,48209010500,32.487031,0.180000
911,-97.938202,29.880838,48209010100,1661,-97.939656,29.882252,48209010100,0.052634,0.390000
1661,-97.939656,29.882252,48209010100,911,-97.938202,29.880838,48209010100,0.115601,0.390000
908,-97.94009,29.881982,48209010100,1658,-97.939579,29.88177,48209010100,0.295095,0.090000
1658,-97.939579,29.88177,48209010100,908,-97.94009,29.881982,48209010100,0.024372,0.090000
909,-97.940672,29.884244,48209010100,1282,-97.940026,29.884481,48209010100,0.297571,0.120000
1282,-97.940026,29.884481,48209010100,909,-97.940672,29.884244,48209010100,7.997079,0.120000
919,-97.937005,29.877414,48209010500,1669,-97.936028,29.876883,48209010500,0.361538,0.210000
1669,-97.936028,29.876883,48209010500,919,-97.937005,29.877414,48209010500,4.476910,0.210000
911,-97.938202,29.880838,48209010100,1671,-97.938129,29.883228,48209010100,0.339005,0.480000
1671,-97.938129,29.883228,48209010100,911,-97.938202,29.880838,48209010100,59.234543,0.480000
911,-97.938202,29.880838,48209010100,1660,-97.93681,29.880724,48209010100,0.088542,0.240000
1660,-97.93681,29.880724,48209010100,911,-97.938202,29.880838,48209010100,0.002010,0.240000
708,-97.927999,29.882519,48209010302,1674,-97.930725,29.878668,48209010302,0.018109,0.930001
1674,-97.930725,29.878668,48209010302,708,-97.927999,29.882519,48209010302,0.070530,0.930001
700,-97.944039,29.890125,48209010200,1844,-97.942108,29.888059,48209010200,0.430715,0.540001
1844,-97.942108,29.888059,48209010200,700,-97.944039,29.890125,48209010200,0.543205,0.540001
