Tail,Tail_x,Tail_y,Tail_geoid,Head,Head_x,Head_y,Head_geoid,Flow,Cost
719,-97.942473,29.884042,48209010100,1259,-97.942571,29.884912,48209010100,22.214614,0.240000
1259,-97.942571,29.884912,48209010100,719,-97.942473,29.884042,48209010100,1.087499,0.240000
909,-97.940672,29.884244,48209010100,1260,-97.940536,29.88521,48209010100,7.532058,0.280000
1260,-97.940536,29.88521,48209010100,909,-97.940672,29.884244,48209010100,41.328958,0.280000
705,-97.945474,29.88051,48209010100,1528,-97.943378,29.881903,48209010100,180.515583,0.640000
1528,-97.943378,29.881903,48209010100,705,-97.945474,29.88051,48209010100,376.881049,0.640000
719,-97.942473,29.884042,48209010100,1278,-97.94376,29.883846,48209010100,8.638470,0.320000
1278,-97.94376,29.883846,48209010100,719,-97.942473,29.884042,48209010100,11.189552,0.320000
705,-97.945474,29.88051,48209010100,1577,-97.94591,29.878314,48209010100,73.249623,0.600000
1577,-97.94591,29.878314,48209010100,705,-97.945474,29.88051,48209010100,89.558716,0.600000
705,-97.945474,29.88051,48209010100,1581,-97.947202,29.880625,48209010100,183.190413,0.400000
1581,-97.947202,29.880625,48209010100,705,-97.945474,29.88051,48209010100,319.343619,0.400000
910,-97.939316,29.875972,48209010500,1632,-97.93981,29.875412,48209010500,132.350751,0.200000
1632,-97.93981,29.875412,48209010500,910,-97.939316,29.875972,48209010500,348.432144,0.200000
704,-97.942358,29.881756,48209010100,1655,-97.942005,29.879804,48209010500,32.560970,0.560000
1655,-97.942005,29.879804,48209010500,704,-97.942358,29.881756,48209010100,50.183440,0.560000
908,-97.94009,29.881982,48209010100,1652,-97.939989,29.88011,48209010500,0.000000,0.520000
1652,-97.939989,29.88011,48209010500,908,-97.94009,29.881982,48209010100,0.000000,0.520000
704,-97.942358,29.881756,48209010100,1664,-97.942749,29.88265,48209010100,59.792679,0.280000
1664,-97.942749,29.88265,48209010100,704,-97.942358,29.881756,48209010100,60.486858,0.280000
