Tail,Tail_x,Tail_y,Tail_geoid,Head,Head_x,Head_y,Head_geoid,Flow,Cost
719,-97.942473,29.884042,48209010100,1259,-97.942571,29.884912,48209010100,0.907241,0.240000
1259,-97.942571,29.884912,48209010100,719,-97.942473,29.884042,48209010100,0.034982,0.240000
909,-97.940672,29.884244,48209010100,1260,-97.940536,29.88521,48209010100,0.000000,0.280000
1260,-97.940536,29.88521,48209010100,909,-97.940672,29.884244,48209010100,3.064107,0.280000
705,-97.945474,29.88051,48209010100,1528,-97.943378,29.881903,48209010100,53.267255,0.640000
1528,-97.943378,29.881903,48209010100,705,-97.945474,29.88051,48209010100,21.987802,0.640000
719,-97.942473,29.884042,48209010100,1278,-97.94376,29.883846,48209010100,0.149470,0.320000
1278,-97.94376,29.883846,48209010100,719,-97.942473,29.884042,48209010100,1.770204,0.320000
705,-97.945474,29.88051,48209010100,1577,-97.94591,29.878314,48209010100,108.721859,0.600000
1577,-97.94591,29.878314,48209010100,705,-97.945474,29.88051,48209010100,1.988509,0.600000
705,-97.945474,29.88051,48209010100,1581,-97.947202,29.880625,48209010100,136.349319,0.400000
1581,-97.947202,29.880625,48209010100,705,-97.945474,29.88051,48209010100,13.211710,0.400000
910,-97.939316,29.875972,48209010500,1632,-97.93981,29.875412,48209010500,143.543999,0.200000
1632,-97.93981,29.875412,48209010500,910,-97.939316,29.875972,48209010500,1100.076944,0.200000
704,-97.942358,29.881756,48209010100,1655,-97.942005,29.879804,48209010500,42.824767,0.560000
1655,-97.942005,29.879804,48209010500,704,-97.942358,29.881756,48209010100,1.286875,0.560000
908,-97.94009,29.881982,48209010100,1652,-97.939989,29.88011,48209010500,27.906553,0.520000
1652,-97.939989,29.88011,48209010500,908,-97.94009,29.881982,48209010100,0.000000,0.520000
704,-97.942358,29.881756,48209010100,1664,-97.942749,29.88265,48209010100,14.392761,0.280000
1664,-97.942749,29.88265,48209010100,704,-97.942358,29.881756,48209010100,2.636211,0.280000
704,-97.942358,29.881756,48209010100,1665,-97.941092,29.882348,48209010100,0.085698,0.360000
1665,-97.941092,29.882348,48209010100,704,-97.942358,29.881756,48209010100,5.471676,0.360000
719,-97.942473,29.884042,48209010100,1280,-97.941438,29.884391,48209010100,67.166639,0.280000
1280,-97.941438,29.884391,48209010100,719,-97.942473,29.884042,48209010100,2.316073,0.280000
704,-97.942358,29.881756,48209010100,1654,-97.943323,29.88144,48209010100,0.118616,0.240000
1654,-97.943323,29.88144,48209010100,704,-97.942358,29.881756,48209010100,0.098019,0.240000
719,-97.942473,29.884042,48209010100,1667,-97.942407,29.882698,48209010100,17.631465,0.360000
1667,-97.942407,29.882698,48209010100,719,-97.942473,29.884042,48209010100,4.931468,0.360000
908,-97.94009,29.881982,48209010100,1656,-97.941035,29.882041,48209010100,0.255861,0.240000
1656,-97.941035,29.882041,48209010100,908,-97.94009,29.881982,48209010100,2.718057,0.240000
909,-97.940672,29.884244,48209010100,1668,-97.940445,29.882965,48209010100,5.374007,0.360000
1668,-97.940445,29.882965,48209010100,909,-97.940672,29.884244,48209010100,0.871927,0.360000
909,-97.940672,29.884244,48209010100,1280,-97.941438,29.884391,48209010100,52.065040,0.200000
1280,-97.941438,29.884391,48209010100,909,-97.940672,29.884244,48209010100,1.759832,0.200000
913,-97.941105,29.88739,48209010200,1902,-97.941802,29.886562,48209010200,43.633597,0.280000
1902,-97.941802,29.886562,48209010200,913,-97.941105,29.88739,48209010200,0.000000,0.280000
913,-97.941105,29.88739,48209010200,1905,-97.940314,29.886604,48209010200,0.158263,0.280000
1905,-97.940314,29.886604,48209010200,913,-97.941105,29.88739,48209010200,2.944423,0.280000
913,-97.941105,29.88739,48209010200,1906,-97.941299,29.888282,48209010200,2.515518,0.240000
1906,-97.941299,29.888282,48209010200,913,-97.941105,29.88739,48209010200,1.050531,0.240000
702,-97.939213,29.887069,48209010200,1896,-97.93914,29.885398,48209010100,879.852668,0.480000
1896,-97.93914,29.885398,48209010100,702,-97.939213,29.887069,48209010200,127.361024,0.480000
702,-97.939213,29.887069,48209010200,1897,-97.939234,29.88764,48209010200,0.032671,0.160000
1897,-97.939234,29.88764,48209010200,702,-97.939213,29.887069,48209010200,0.199359,0.160000
376,-97.738873,30.27864,48453000700,2780,-97.739643,30.276807,48453000700,1176.041193,0.520000
2780,-97.739643,30.276807,48453000700,376,-97.738873,30.27864,48453000700,1942.352728,0.520000
405,-97.74621,30.265461,48453001102,3048,-97.746952,30.265967,48453001102,243.783001,0.240000
3048,-97.746952,30.265967,48453001102,405,-97.74621,30.265461,48453001102,507.755721,0.240000
849,-97.748407,30.269483,48453001102,3023,-97.747413,30.268103,48453001102,135.678933,0.440000
3023,-97.747413,30.268103,48453001102,849,-97.748407,30.269483,48453001102,368.869830,0.440000
849,-97.748407,30.269483,48453001102,3172,-97.749152,30.269871,48453001101,161.256513,0.200000
3172,-97.749152,30.269871,48453001101,849,-97.748407,30.269483,48453001102,946.622662,0.200000
849,-97.748407,30.269483,48453001102,3050,-97.746957,30.270073,48453001101,171.907058,0.400000
3050,-97.746957,30.270073,48453001101,849,-97.748407,30.269483,48453001102,0.000000,0.400000
379,-97.740184,30.270625,48453001101,3303,-97.738686,30.270825,48453001101,508.768076,0.360000
3303,-97.738686,30.270825,48453001101,379,-97.740184,30.270625,48453001101,2159.758757,0.360000
379,-97.740184,30.270625,48453001101,3304,-97.740772,30.268341,48453001101,351.921309,0.640000
3304,-97.740772,30.268341,48453001101,379,-97.740184,30.270625,48453001101,2323.229447,0.640000
377,-97.740269,30.274993,48453000700,3309,-97.73713,30.275019,48453000700,367.078969,0.760000
3309,-97.73713,30.275019,48453000700,377,-97.740269,30.274993,48453000700,1664.576262,0.760000
382,-97.738381,30.266557,48453001103,3311,-97.740092,30.267027,48453001103,171.699822,0.440000
3311,-97.740092,30.267027,48453001103,382,-97.738381,30.266557,48453001103,8.859639,0.440000
405,-97.74621,30.265461,48453001102,3046,-97.746417,30.26374,48453001102,145.100958,0.480000
3046,-97.746417,30.26374,48453001102,405,-97.74621,30.265461,48453001102,641.474756,0.480000
405,-97.74621,30.265461,48453001102,3324,-97.743505,30.265003,48453001103,19.732531,0.640000
3324,-97.743505,30.265003,48453001103,405,-97.74621,30.265461,48453001102,15.726647,0.640000
380,-97.744601,30.268129,48453001102,3327,-97.74247,30.267767,48453001103,37.669946,0.520000
3327,-97.74247,30.267767,48453001103,380,-97.744601,30.268129,48453001102,42.248299,0.520000
406,-97.742416,30.264483,48453001103,3328,-97.742929,30.26276,48453001103,0.000000,0.480000
3328,-97.742929,30.26276,48453001103,406,-97.742416,30.264483,48453001103,0.000000,0.480000
406,-97.742416,30.264483,48453001103,3329,-97.74156,30.26646,48453001103,63.456218,0.600000
3329,-97.74156,30.26646,48453001103,406,-97.742416,30.264483,48453001103,29.841910,0.600000
406,-97.742416,30.264483,48453001103,3324,-97.743505,30.265003,48453001103,356.274582,0.280000
3324,-97.743505,30.265003,48453001103,406,-97.742416,30.264483,48453001103,1236.613520,0.280000
405,-97.74621,30.265461,48453001102,3335,-97.745092,30.267456,48453001102,172.901193,0.600000
3335,-97.745092,30.267456,48453001102,405,-97.74621,30.265461,48453001102,426.217449,0.600000
